layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
13,0.00570785,0.01548459,0.02053897,0.03448864,0.06421082,0.09370517,0.09421413,0.11410764,0.12871514,0.20413917,0.30292553,0.41992837,0.63592100,1.00000107,0.47433385,0.34894079,0.28207839,0.22178397,0.15020797,0.11340169,0.06365187,0.05978513,0.04689207,0.01364108,0.00105799,0.00279869,0.01011633,0.01507458,0.00964680,0.00029932,0.00034185,0.00200537,0.00337050,-0.00306724,-0.00331641,0.02025913
14,0.00283488,0.01148683,-0.00346152,-0.00083328,0.04032083,0.04098080,0.04261506,0.07255280,0.06681459,0.12100100,0.18053930,0.26318908,0.36064619,0.47433385,1.00000119,0.62370384,0.45039400,0.36047474,0.26073098,0.19736938,0.16827750,0.14129323,0.10499238,0.07132196,0.04646540,0.04545089,0.04477248,0.05160771,0.04890917,0.04429214,0.03201987,0.02869955,0.01928129,0.01272913,0.01351779,-0.00574779
15,0.00773683,0.00476069,-0.00259905,-0.00746012,0.06219930,0.03773152,0.03953979,0.04493558,0.04252234,0.08559570,0.12730969,0.19848090,0.28122953,0.34894079,0.62370384,1.00000072,0.63346720,0.50369340,0.34379408,0.25731820,0.19500741,0.14716829,0.12439059,0.09098385,0.03778580,0.04090841,0.05346223,0.06183907,0.06097149,0.05431651,0.04021347,0.03524035,0.02262157,0.00814854,0.03258651,-0.06368830
16,0.01293447,0.01425020,0.00260722,0.00499126,0.03818210,0.02280266,0.00895251,0.02183316,0.01276541,0.04294720,0.08327606,0.15051810,0.23736243,0.28207839,0.45039400,0.63346720,1.00000095,0.73468423,0.51875514,0.38186496,0.29029450,0.24320075,0.20316096,0.16589448,0.11242183,0.11501653,0.11829975,0.11761432,0.10968681,0.09569354,0.08124594,0.07785613,0.06784467,0.04538925,0.05903862,-0.02926802
17,0.01282718,-0.00362004,-0.01791717,-0.01132715,0.03197272,0.01560041,0.01857888,0.02034669,0.02331583,0.03720389,0.06622248,0.13290246,0.18578613,0.22178397,0.36047474,0.50369340,0.73468423,1.00000083,0.69601393,0.51111311,0.40030038,0.32312527,0.27339062,0.23681419,0.17160508,0.18510345,0.18060409,0.17432237,0.15866657,0.13957627,0.12396257,0.12161285,0.10391188,0.08228274,0.09549035,-0.01837862
18,0.02123880,0.00100563,-0.00110774,0.01125138,0.07020343,0.04820121,0.04636363,0.02069149,0.00124359,0.00989698,0.02823162,0.08677208,0.12083673,0.15020797,0.26073098,0.34379408,0.51875514,0.69601393,1.00000083,0.68911409,0.56607980,0.45352408,0.40550727,0.35602129,0.27208140,0.27319869,0.26438203,0.25097543,0.22776377,0.20472914,0.19359250,0.19021989,0.17184857,0.14246505,0.14387354,0.00384549
19,-0.00263846,-0.01744641,-0.01715626,-0.00681234,0.03953864,0.02611858,0.01650943,0.00472426,-0.00203928,0.00262071,0.02381615,0.06662411,0.11764710,0.11340169,0.19736938,0.25731820,0.38186496,0.51111311,0.68911409,1.00000048,0.78650868,0.64334148,0.54847032,0.46724606,0.36604366,0.35466841,0.33548170,0.30991814,0.28956321,0.27043280,0.25533929,0.25319907,0.22944739,0.19878344,0.19440582,0.05823649
20,-0.00989811,-0.02369366,-0.01033246,0.00483521,0.03547700,0.01471333,0.01961050,0.00443489,-0.00070543,-0.01106485,0.00433789,0.04474508,0.07903941,0.06365187,0.16827750,0.19500741,0.29029450,0.40030038,0.56607980,0.78650868,1.00000072,0.78002530,0.65968692,0.57131362,0.45426738,0.43729848,0.41001278,0.37178126,0.34409377,0.31381533,0.29706490,0.29186693,0.27110666,0.23694478,0.23074621,0.07124396
21,-0.01665037,-0.01881420,-0.01498842,0.00114686,0.01529744,0.00521015,0.01002217,0.01177788,-0.00080380,-0.00979810,0.00548479,0.03711955,0.08071865,0.05978513,0.14129323,0.14716829,0.24320075,0.32312527,0.45352408,0.64334148,0.78002530,1.00000107,0.79970402,0.66121733,0.51679420,0.49867350,0.46352589,0.42004648,0.38909680,0.35842913,0.33877885,0.33215642,0.30652094,0.27392510,0.26263937,0.09306392
22,-0.02215332,-0.02483300,-0.01127174,-0.00405244,0.02218994,-0.00203141,-0.00340998,0.00818221,0.00099622,-0.00504648,0.01156607,0.04719036,0.07342081,0.04689207,0.10499238,0.12439059,0.20316096,0.27339062,0.40550727,0.54847032,0.65968692,0.79970402,1.00000072,0.82236069,0.65840274,0.61968023,0.57858014,0.53643727,0.49376568,0.46248302,0.43799350,0.42194161,0.38559365,0.34994969,0.32087702,0.14365160
