layer_i,layer_j,cosine
8,17,0.02814246
8,18,-0.00793480
8,19,0.01075380
8,20,0.00924256
8,21,-0.00751133
8,22,-0.01018879
8,23,-0.01284641
8,24,-0.00439386
8,25,-0.00875693
8,26,-0.00281945
8,27,0.00496401
8,28,0.00733678
8,29,0.00028179
8,30,-0.00781061
8,31,-0.00253969
8,32,-0.00251815
8,33,0.00158715
8,34,-0.01006191
8,35,0.03280817
9,0,0.01709715
9,1,0.02319307
9,2,0.02852294
9,3,0.03675301
9,4,0.06670547
9,5,0.16294569
9,6,0.21114065
9,7,0.31567076
9,8,0.54304814
9,9,1.00000072
9,10,0.56849629
9,11,0.40406206
9,12,0.29095098
9,13,0.21778885
9,14,0.13159892
9,15,0.07381799
9,16,0.02350393
9,17,0.01029302
9,18,-0.02121060
9,19,-0.02266070
9,20,-0.04137130
9,21,-0.04451825
9,22,-0.04756198
9,23,-0.04634356
9,24,-0.02760879
9,25,-0.02678329
9,26,-0.02899791
9,27,-0.02380356
9,28,-0.02355840
9,29,-0.02175565
9,30,-0.02159788
9,31,-0.01480969
9,32,-0.01593086
9,33,-0.01727397
9,34,-0.03328546
9,35,0.03544828
10,0,0.00078730
10,1,0.03083078
10,2,0.01207761
10,3,0.04381672
10,4,0.06533677
10,5,0.11778177
10,6,0.14169000
10,7,0.22746801
10,8,0.35705900
10,9,0.56849629
10,10,1.00000060
10,11,0.66037375
10,12,0.43430099
10,13,0.30758053
10,14,0.21507968
10,15,0.13679978
10,16,0.07571772
10,17,0.04920920
10,18,-0.00067713
10,19,-0.01138613
10,20,-0.02309451
10,21,-0.01689542
10,22,-0.01174641
10,23,-0.01329292
10,24,0.00079499
10,25,-0.00366829
10,26,-0.00499354
10,27,-0.00378634
10,28,-0.00677804
10,29,-0.00709905
10,30,-0.00242749
10,31,-0.00248156
10,32,-0.01145506
10,33,-0.01440459
10,34,-0.04037565
10,35,0.04938636
11,0,-0.01294670
11,1,-0.00326442
11,2,0.00111246
11,3,0.02773002
11,4,0.05687878
11,5,0.10174459
11,6,0.11600033
11,7,0.21161371
11,8,0.26176870
11,9,0.40406206
11,10,0.66037375
11,11,1.00000095
11,12,0.64326841
11,13,0.45200744
11,14,0.29788855
11,15,0.20371819
11,16,0.13636285
11,17,0.11033186
11,18,0.05330713
11,19,0.02268351
11,20,0.02141831
11,21,0.02591011
11,22,0.03549794
11,23,0.02404090
11,24,0.01054419
11,25,0.00678733
11,26,0.00258608
11,27,0.00298041
11,28,0.00149861
11,29,0.00556276
11,30,0.00334101
11,31,-0.00211434
11,32,-0.00042144
11,33,-0.00417824
11,34,-0.02675031
11,35,0.01962230
12,0,-0.00823527
12,1,0.00360150
12,2,0.01410672
12,3,0.03847929
12,4,0.06252562
12,5,0.09903449
12,6,0.11173398
12,7,0.15097213
12,8,0.18465267
12,9,0.29095098
12,10,0.43430099
12,11,0.64326841
12,12,1.00000095
12,13,0.67433244
12,14,0.43461221
12,15,0.31201139
12,16,0.22589186
12,17,0.15289943
12,18,0.06719969
12,19,0.06037169
12,20,0.04845624
12,21,0.05787253
12,22,0.04589866
12,23,0.03723236
12,24,0.03558676
12,25,0.02988222
12,26,0.02791130
12,27,0.02601781
12,28,0.02465595
12,29,0.02439432
12,30,0.02181741
12,31,0.01483754
12,32,0.01256095
12,33,0.00004720
12,34,-0.02098840
12,35,0.03767323
13,0,-0.00970876
13,1,-0.01401513
13,2,0.01078502
13,3,0.03614665
13,4,0.05541772
13,5,0.06778977
13,6,0.08301880
13,7,0.12911458
13,8,0.14099211
13,9,0.21778885
13,10,0.30758053
13,11,0.45200744
13,12,0.67433244
13,13,1.00000072
13,14,0.57349771
13,15,0.37654501
13,16,0.27233073
13,17,0.20024373
13,18,0.11597657
13,19,0.06785102
13,20,0.04817101
13,21,0.05197787
13,22,0.03958756
13,23,0.01375228
13,24,0.00713818
13,25,0.01654177
13,26,0.01946678
13,27,0.02626136
13,28,0.01767780
13,29,0.02153414
13,30,0.02404788
13,31,0.02573073
13,32,0.02892238
13,33,0.02159319
13,34,0.00950495
13,35,0.02916039
14,0,0.00665141
14,1,0.01477429
14,2,0.01077076
14,3,0.03116790
14,4,0.03550551
14,5,0.04185949
14,6,0.04644922
14,7,0.09324154
14,8,0.10571696
14,9,0.13159892
14,10,0.21507968
14,11,0.29788855
14,12,0.43461221
14,13,0.57349771
14,14,1.00000060
14,15,0.60550523
14,16,0.40481746
14,17,0.28255558
14,18,0.18494208
14,19,0.13088332
14,20,0.12739371
14,21,0.10677288
14,22,0.08963174
14,23,0.06106279
14,24,0.04898658
14,25,0.04600420
14,26,0.04504654
14,27,0.04624091
14,28,0.03972675
14,29,0.03932982
14,30,0.03562151
14,31,0.03221570
14,32,0.03348481
14,33,0.03013591
14,34,0.02912759
14,35,0.03537904
15,0,-0.01589369
15,1,-0.03136876
15,2,-0.01116729
15,3,-0.01093577
15,4,0.06061006
15,5,0.02350822
15,6,0.02060492
15,7,0.02828075
15,8,0.06179074
15,9,0.07381799
15,10,0.13679978
15,11,0.20371819
15,12,0.31201139
15,13,0.37654501
15,14,0.60550523
15,15,1.00000060
15,16,0.59669119
15,17,0.43984592
15,18,0.29380810
15,19,0.22209294
15,20,0.20227781
15,21,0.15222889
15,22,0.13131945
15,23,0.10002720
15,24,0.04427619
15,25,0.04734252
15,26,0.06210974
15,27,0.06254464
15,28,0.05532734
15,29,0.04869996
15,30,0.04429242
15,31,0.03849245
15,32,0.03638667
15,33,0.03724883
15,34,0.07611188
15,35,-0.06108510
16,0,0.00054561
16,1,-0.01796438
16,2,-0.01074307
16,3,-0.00694208
16,4,0.03867992
16,5,0.02044235
16,6,0.01268617
16,7,0.01986028
16,8,0.02646672
16,9,0.02350393
16,10,0.07571772
16,11,0.13636285
16,12,0.22589186
16,13,0.27233073
16,14,0.40481746
16,15,0.59669119
16,16,1.00000095
16,17,0.66959608
16,18,0.45356047
16,19,0.33158991
16,20,0.28953788
16,21,0.23914932
16,22,0.20840989
16,23,0.17318758
16,24,0.11281171
16,25,0.11619944
16,26,0.12482290
16,27,0.11032391
16,28,0.09677145
16,29,0.08513330
16,30,0.07780260
16,31,0.07052936
16,32,0.07136488
16,33,0.07350453
16,34,0.09740182
16,35,-0.03216453
17,0,-0.00768423
17,1,-0.03262990
17,2,-0.01603046
17,3,-0.03206561
17,4,0.03426017
17,5,-0.00028416
17,6,0.00492036
17,7,0.01119024
17,8,0.02814246
17,9,0.01029302
17,10,0.04920920
17,11,0.11033186
17,12,0.15289943
17,13,0.20024373
17,14,0.28255558
17,15,0.43984592
17,16,0.66959608
17,17,1.00000095
17,18,0.67064679
17,19,0.45302236
17,20,0.39042088
17,21,0.32941025
17,22,0.28706470
17,23,0.25634244
17,24,0.18269050
17,25,0.19031288
17,26,0.18061857
17,27,0.16980793
17,28,0.15644243
17,29,0.14036728
17,30,0.13255924
17,31,0.12690693
17,32,0.11690892
17,33,0.11667433
17,34,0.14475946
17,35,-0.03707406
18,0,-0.02016658
18,1,-0.04730310
18,2,-0.02089604
18,3,-0.01938718
18,4,0.07290768
18,5,0.01953178
18,6,0.01194077
18,7,-0.00430611
18,8,-0.00793480
18,9,-0.02121060
18,10,-0.00067713
18,11,0.05330713
18,12,0.06719969
18,13,0.11597657
18,14,0.18494208
18,15,0.29380810
18,16,0.45356047
18,17,0.67064679
18,18,1.00000072
18,19,0.62644231
18,20,0.51829767
18,21,0.41760176
18,22,0.36527053
18,23,0.34459513
18,24,0.25777635
18,25,0.25665936
18,26,0.24881066
18,27,0.22976936
18,28,0.21209712
18,29,0.18982233
18,30,0.18546925
18,31,0.18020871
18,32,0.17438081
18,33,0.16317485
18,34,0.18310620
18,35,-0.03191666
19,0,-0.01989429
19,1,-0.04382744
19,2,-0.01547598
19,3,-0.01568994
19,4,0.05174961
19,5,0.01423200
19,6,-0.00179862
19,7,-0.01368253
19,8,0.01075380
19,9,-0.02266070
19,10,-0.01138613
19,11,0.02268351
19,12,0.06037169
19,13,0.06785102
19,14,0.13088332
19,15,0.22209294
19,16,0.33158991
19,17,0.45302236
19,18,0.62644231
19,19,1.00000083
19,20,0.78172863
19,21,0.63501865
19,22,0.52921605
19,23,0.47535431
19,24,0.36938646
19,25,0.35543346
19,26,0.33553848
19,27,0.30929169
19,28,0.28991038
19,29,0.26695704
19,30,0.25348103
19,31,0.24129325
19,32,0.22646268
19,33,0.21003994
19,34,0.21911906
19,35,0.00093457
20,0,-0.02803204
20,1,-0.04707934
20,2,-0.01715081
20,3,-0.01952213
20,4,0.05278480
20,5,0.02000807
20,6,0.00850774
20,7,-0.00676723
20,8,0.00924256
20,9,-0.04137130
20,10,-0.02309451
20,11,0.02141831
20,12,0.04845624
20,13,0.04817101
20,14,0.12739371
20,15,0.20227781
20,16,0.28953788
20,17,0.39042088
20,18,0.51829767
20,19,0.78172863
20,20,1.00000107
20,21,0.78494865
20,22,0.63441443
20,23,0.56219172
20,24,0.43597272
20,25,0.42345071
20,26,0.40010157
20,27,0.36028582
20,28,0.33491266
20,29,0.30159289
20,30,0.28731987
20,31,0.27280316
20,32,0.25857103
20,33,0.24250442
20,34,0.25478467
20,35,0.00819843
21,0,-0.04391254
21,1,-0.05970308
21,2,-0.03933860
21,3,-0.02743225
21,4,0.04209150
21,5,0.01369740
21,6,0.01017865
21,7,-0.00106256
21,8,-0.00751133
21,9,-0.04451825
21,10,-0.01689542
21,11,0.02591011
21,12,0.05787253
21,13,0.05197787
21,14,0.10677288
21,15,0.15222889
21,16,0.23914932
21,17,0.32941025
21,18,0.41760176
21,19,0.63501865
21,20,0.78494865
21,21,1.00000107
21,22,0.78788900
21,23,0.65047091
21,24,0.50150973
21,25,0.48657107
21,26,0.44891226
21,27,0.40867537
21,28,0.37805307
21,29,0.34494093
21,30,0.32774553
21,31,0.30357739
21,32,0.27765387
21,33,0.25851732
21,34,0.25779331
21,35,0.02746417
22,0,-0.03666681
22,1,-0.04933277
22,2,-0.02579187
22,3,-0.02019190
22,4,0.04450896
22,5,0.00347832
22,6,-0.00508629
22,7,-0.01114867
22,8,-0.01018879
22,9,-0.04756198
22,10,-0.01174641
22,11,0.03549794
22,12,0.04589866
22,13,0.03958756
22,14,0.08963174
22,15,0.13131945
22,16,0.20840989
22,17,0.28706470
22,18,0.36527053
22,19,0.52921605
22,20,0.63441443
22,21,0.78788900
22,22,1.00000048
22,23,0.82295173
22,24,0.64860928
22,25,0.61722589
22,26,0.57374722
22,27,0.52680469
22,28,0.48513988
22,29,0.45138845
22,30,0.42354599
22,31,0.39152047
22,32,0.35162252
22,33,0.32327646
22,34,0.29730040
22,35,0.07061368
23,0,-0.04244705
23,1,-0.05937979
23,2,-0.03995703
23,3,-0.03254642
23,4,0.02661971
23,5,-0.02217894
23,6,-0.02894886
23,7,-0.02861936
23,8,-0.01284641
23,9,-0.04634356
23,10,-0.01329292
23,11,0.02404090
23,12,0.03723236
23,13,0.01375228
23,14,0.06106279
23,15,0.10002720
23,16,0.17318758
23,17,0.25634244
23,18,0.34459513
23,19,0.47535431
23,20,0.56219172
23,21,0.65047091
23,22,0.82295173
23,23,1.00000083
23,24,0.80312288
23,25,0.74694693
23,26,0.69975704
23,27,0.64154053
23,28,0.59006286
23,29,0.54593188
23,30,0.50848442
23,31,0.47586891
23,32,0.42893702
23,33,0.40294206
23,34,0.36579204
23,35,0.10652130
24,0,-0.02855798
24,1,-0.02481272
24,2,-0.01496350
24,3,-0.00415817
24,4,0.01164145
24,5,-0.02641830
24,6,-0.02544447
24,7,-0.02768691
24,8,-0.00439386
24,9,-0.02760879
24,10,0.00079499
24,11,0.01054419
24,12,0.03558676
24,13,0.00713818
24,14,0.04898658
24,15,0.04427619
24,16,0.11281171
24,17,0.18269050
24,18,0.25777635
24,19,0.36938646
24,20,0.43597272
24,21,0.50150973
24,22,0.64860928
24,23,0.80312288
24,24,1.00000095
24,25,0.90227437
24,26,0.82284170
24,27,0.75010842
24,28,0.68627155
24,29,0.63311958
24,30,0.59217167
24,31,0.55322039
24,32,0.49726987
24,33,0.45154208
24,34,0.38168705
24,35,0.22315322
25,0,-0.03369381
25,1,-0.02833603
25,2,-0.02025042
25,3,-0.00718691
25,4,0.02323244
25,5,-0.02638449
25,6,-0.02593194
25,7,-0.02899072
25,8,-0.00875693
25,9,-0.02678329
25,10,-0.00366829
25,11,0.00678733
25,12,0.02988222
25,13,0.01654177
25,14,0.04600420
25,15,0.04734252
25,16,0.11619944
25,17,0.19031288
25,18,0.25665936
25,19,0.35543346
25,20,0.42345071
25,21,0.48657107
25,22,0.61722589
25,23,0.74694693
25,24,0.90227437
25,25,1.00000060
25,26,0.90425396
25,27,0.83013958
25,28,0.75498009
25,29,0.69755208
25,30,0.65298313
25,31,0.60941213
25,32,0.55075407
25,33,0.50612307
25,34,0.43476433
25,35,0.21670604
26,0,-0.03339577
26,1,-0.03576216
26,2,-0.02976511
26,3,-0.02252003
26,4,0.01296580
26,5,-0.02387658
26,6,-0.03027240
26,7,-0.03005339
26,8,-0.00281945
26,9,-0.02899791
26,10,-0.00499354
26,11,0.00258608
26,12,0.02791130
26,13,0.01946678
26,14,0.04504654
26,15,0.06210974
26,16,0.12482290
26,17,0.18061857
26,18,0.24881066
26,19,0.33553848
26,20,0.40010157
26,21,0.44891226
26,22,0.57374722
26,23,0.69975704
26,24,0.82284170
26,25,0.90425396
26,26,1.00000072
26,27,0.91598457
26,28,0.82830024
26,29,0.76603198
26,30,0.71345812
26,31,0.66607952
26,32,0.60919601
26,33,0.57078195
26,34,0.50526375
26,35,0.21538647
27,0,-0.03460050
27,1,-0.03382188
27,2,-0.03389045
27,3,-0.02137990
27,4,0.01653581
27,5,-0.02407345
27,6,-0.02668664
27,7,-0.02618553
27,8,0.00496401
27,9,-0.02380356
27,10,-0.00378634
27,11,0.00298041
27,12,0.02601781
27,13,0.02626136
27,14,0.04624091
27,15,0.06254464
27,16,0.11032391
27,17,0.16980793
27,18,0.22976936
27,19,0.30929169
27,20,0.36028582
27,21,0.40867537
27,22,0.52680469
27,23,0.64154053
27,24,0.75010842
27,25,0.83013958
27,26,0.91598457
27,27,1.00000083
27,28,0.89838886
27,29,0.82729667
27,30,0.77175701
27,31,0.71830332
27,32,0.66111553
27,33,0.62024021
27,34,0.55221510
27,35,0.23567170
28,0,-0.03314599
28,1,-0.03588670
28,2,-0.03560830
28,3,-0.02431539
28,4,0.00634857
28,5,-0.01465786
28,6,-0.02559922
28,7,-0.02474815
28,8,0.00733678
28,9,-0.02355840
28,10,-0.00677804
28,11,0.00149861
28,12,0.02465595
28,13,0.01767780
