layer,oracle_true,norm,cosine_to_centroid,raw_projection_on_centroid,centroid_sum_contribution,leave_one_out_centroid_cosine,leave_one_out_delta
0,False,0.016830965876579285,-0.01886918395757675,-0.0003175864403601736,,,
1,False,0.009212968870997429,0.017099710181355476,0.00015753909246996045,,,
2,False,0.01434872206300497,-0.009753016754984856,-0.0001399433531332761,,,
3,False,0.022376790642738342,-0.006111078429967165,-0.00013674635556526482,,,
4,False,0.04494567587971687,-0.01784190908074379,-0.0008019162341952324,,,
5,False,0.07008577138185501,-0.024245914071798325,-0.0016992943128570914,,,
6,False,0.056386549025774,-0.019016657024621964,-0.0010722838342189789,,,
7,False,0.10751253366470337,-0.025873661041259766,-0.00278174364939332,,,
8,True,0.2023545503616333,0.42932209372520447,0.08687527477741241,0.08586441874504089,0.9103796482086182,0.08962035179138184
9,False,0.25905129313468933,-0.13355663418769836,-0.03459802269935608,,,
10,False,0.29907530546188354,-0.022990593686699867,-0.006875916849821806,,,
11,False,0.3070705831050873,-0.03189647197723389,-0.009794468060135841,,,
12,False,0.37783917784690857,0.00195611035451293,0.0007390942191705108,,,
13,False,0.422256737947464,-0.053087420761585236,-0.022416522726416588,,,
14,False,0.6243889331817627,0.01868194155395031,0.011664798483252525,,,
15,False,0.8063298463821411,-0.012994226068258286,-0.010477621108293533,,,
16,False,1.2423878908157349,0.029705950990319252,0.036906298249959946,,,
17,False,1.6112233400344849,0.05375697463750839,0.08661448955535889,,,
18,False,2.3043508529663086,0.05347897484898567,0.1232343465089798,,,
19,False,3.9574291706085205,0.08014028519392014,0.31714946031570435,,,
20,False,3.898752212524414,0.03290568292140961,0.12829111516475677,,,
21,False,4.88981819152832,-0.018165580928325653,-0.08882637321949005,,,
22,True,6.091099739074707,0.4847952723503113,2.9529364109039307,0.09695905447006226,0.9109667539596558,0.08903324604034424
23,True,7.517401695251465,0.5085827112197876,3.8232204914093018,0.10171654224395751,0.9114765524864197,0.08852344751358032
24,True,10.059836387634277,0.49922728538513184,5.0221452713012695,0.09984545707702637,0.9112564325332642,0.08874356746673584
25,False,8.210131645202637,0.005289312452077866,0.04342588037252426,,,
26,False,9.586813926696777,0.0815524309873581,0.7818280458450317,,,
27,False,10.31227970123291,0.05232506990432739,0.5395908355712891,,,
28,True,13.03332805633545,0.49449706077575684,6.444943428039551,0.09889941215515137,0.9111548662185669,0.0888451337814331
29,False,13.532571792602539,0.06655298173427582,0.9006330966949463,,,
30,False,13.05371379852295,0.034300778061151505,0.44775259494781494,,,
31,False,14.27485179901123,0.017097722738981247,0.24406741559505463,,,
32,False,17.490581512451172,0.01169620081782341,0.20457327365875244,,,
33,False,18.75270652770996,0.0031737741082906723,0.059516966342926025,,,
34,False,27.94266700744629,-0.04970233887434006,-1.3888161182403564,,,
35,False,86.67212677001953,0.027472665533423424,2.3811140060424805,,,
