layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
13,0.00722142,0.00890219,0.02500152,0.02249750,0.01557252,0.08113369,0.10404830,0.09854868,0.10136320,0.15659046,0.28669062,0.38334069,0.62880516,1.00000107,0.49438578,0.31212702,0.20803425,0.15387848,0.10858478,0.06392886,0.04682045,0.03122384,0.02487488,-0.00650120,-0.00898410,0.00126280,-0.01048167,-0.01531008,-0.02587605,-0.02261344,-0.02781489,-0.02451856,-0.02650098,-0.02762594,-0.02871776,-0.02848550
14,0.01354187,0.02015122,0.02940313,-0.00463092,-0.02315287,0.03338392,0.06128684,0.05009798,0.05117391,0.05476539,0.13438012,0.16979417,0.35174701,0.49438578,1.00000083,0.61871302,0.39396250,0.30062491,0.19109957,0.10753277,0.07432615,0.06946296,0.05528341,0.03253883,0.03395373,0.03727735,0.02464879,0.01892630,0.00506919,0.00326517,-0.00466748,-0.00341829,-0.00633402,-0.01742452,-0.02302316,-0.01457282
15,0.00548842,0.01581310,0.01858213,-0.00835438,-0.03594884,0.00580793,0.02299086,0.01107121,0.03794802,0.00917407,0.05432884,0.09036235,0.21827224,0.31212702,0.61871302,1.00000072,0.60203755,0.47282600,0.31786829,0.17548861,0.13832206,0.11319196,0.09496515,0.06255865,0.05737076,0.05583721,0.04069155,0.03888357,0.03536024,0.03502376,0.03339449,0.02325475,0.01993397,0.00886837,0.00519400,-0.00869151
16,0.01596208,0.00991991,0.01424137,-0.01067710,-0.00609370,0.00556030,0.01249930,-0.00148231,0.01445713,0.02270240,0.06603302,0.08362037,0.15117683,0.20803425,0.39396250,0.60203755,1.00000072,0.75509769,0.54162192,0.35608616,0.29895011,0.24820812,0.20334361,0.13482922,0.11321885,0.09345890,0.07939292,0.07665384,0.06236087,0.04885143,0.04339095,0.03318508,0.02914692,0.02260729,0.01334559,0.00681398
17,-0.00006884,0.00450819,0.00853889,-0.00477624,0.00450473,-0.00905776,-0.00083890,-0.01106498,0.01124320,0.04006568,0.05156077,0.06648919,0.09613898,0.15387848,0.30062491,0.47282600,0.75509769,1.00000072,0.69478047,0.43574697,0.36036578,0.29044139,0.22341390,0.15342265,0.12692183,0.10563902,0.09521420,0.08687901,0.07106731,0.06579975,0.05644373,0.04978488,0.05162747,0.04432327,0.03001117,0.01557924
18,-0.01732924,-0.01038561,-0.00497404,-0.00611930,0.01242402,-0.01467384,-0.00027641,-0.00458281,0.00746007,0.03690540,0.05757124,0.05929841,0.07558699,0.10858478,0.19109957,0.31786829,0.54162192,0.69478047,1.00000048,0.61815363,0.49814031,0.39094982,0.29109538,0.19992425,0.17091838,0.14087656,0.12687546,0.11708806,0.09798554,0.08807951,0.08286947,0.07557859,0.07586357,0.06674553,0.05244038,0.03065598
19,-0.01297715,-0.00475509,-0.00513431,-0.00648367,0.01393065,-0.00508725,-0.00035349,-0.00640991,0.00933740,0.03634570,0.05057152,0.04925767,0.06020501,0.06392886,0.10753277,0.17548861,0.35608616,0.43574697,0.61815363,1.00000083,0.77471060,0.56641757,0.42596328,0.29519656,0.23595241,0.20175642,0.17569342,0.15097526,0.13431439,0.10750873,0.10011859,0.08688598,0.09020856,0.07511739,0.05451740,0.02335524
20,-0.01169199,-0.00869225,-0.01148756,-0.01159535,0.01180978,-0.01987845,-0.01400911,-0.01579290,0.01677738,0.02313706,0.04199130,0.05394348,0.05132757,0.04682045,0.07432615,0.13832206,0.29895011,0.36036578,0.49814031,0.77471060,1.00000119,0.75042188,0.55588257,0.40096503,0.32142016,0.27389270,0.24614310,0.21401010,0.18601762,0.16407590,0.15402524,0.13383597,0.12690544,0.10527004,0.08442432,0.03117410
21,-0.01283269,-0.00936832,-0.01204788,-0.01264518,0.00708309,-0.01650814,-0.01423740,-0.02048210,0.00164244,0.02057911,0.03122945,0.04754174,0.04631663,0.03122384,0.06946296,0.11319196,0.24820812,0.29044139,0.39094982,0.56641757,0.75042188,1.00000083,0.74989617,0.56418705,0.45660695,0.39682209,0.34801790,0.30136546,0.26723284,0.24011144,0.22384214,0.19647862,0.18402025,0.15778609,0.13119096,0.06191506
22,0.01242576,0.00935785,0.00952649,-0.00056901,-0.00551615,-0.00851580,-0.00748793,-0.00703975,0.02382635,0.02501370,0.00154690,0.01519278,0.03718861,0.02487488,0.05528341,0.09496515,0.20334361,0.22341390,0.29109538,0.42596328,0.55588257,0.74989617,1.00000060,0.75781190,0.61802173,0.54657161,0.48885831,0.43421212,0.38877174,0.35093221,0.31509364,0.28531361,0.27052099,0.24126756,0.21192858,0.11350067
23,0.01787946,0.01564810,0.01180349,-0.01973545,-0.02395050,-0.01467193,-0.00358218,-0.00295613,0.00861175,0.00858989,-0.01374993,0.00996613,0.01225117,-0.00650120,0.03253883,0.06255865,0.13482922,0.15342265,0.19992425,0.29519656,0.40096503,0.56418705,0.75781190,1.00000119,0.81828260,0.72288311,0.65466022,0.58571106,0.53732914,0.48473307,0.43029895,0.39864501,0.37632224,0.33132544,0.29642811,0.18282464
24,0.00185682,-0.00122103,-0.00818337,-0.03017473,-0.03196643,-0.02032353,-0.00724025,0.00203852,0.01397352,0.01168554,0.00068932,0.01599270,0.01070212,-0.00898410,0.03395373,0.05737076,0.11321885,0.12692183,0.17091838,0.23595241,0.32142016,0.45660695,0.61802173,0.81828260,1.00000083,0.87314618,0.78290284,0.70137477,0.62464917,0.56079704,0.50377589,0.46374163,0.43445557,0.39001173,0.34837437,0.22914051
25,0.01938454,0.01641355,0.00958877,-0.02901096,-0.04562284,-0.02247701,-0.00155180,0.00625074,0.01396785,0.00161972,-0.00873600,0.00603930,0.01648678,0.00126280,0.03727735,0.05583721,0.09345890,0.10563902,0.14087656,0.20175642,0.27389270,0.39682209,0.54657161,0.72288311,0.87314618,1.00000072,0.88634914,0.78862071,0.69371182,0.61936492,0.56066757,0.51472706,0.47987697,0.42706615,0.37979424,0.25099856
26,0.00698814,0.00526777,-0.00148734,-0.02879503,-0.02282882,-0.01795290,-0.00944068,0.00042712,0.02916682,0.02266247,0.00136209,0.00584729,0.00491052,-0.01048167,0.02464879,0.04069155,0.07939292,0.09521420,0.12687546,0.17569342,0.24614310,0.34801790,0.48885831,0.65466022,0.78290284,0.88634914,1.00000060,0.89141083,0.77534771,0.68745136,0.62888807,0.58096462,0.53976882,0.47951347,0.42998654,0.27930903
27,0.00325362,0.00178357,-0.00297870,-0.02183763,-0.01487447,-0.02526338,-0.01532925,-0.00561833,0.02225061,0.03069213,-0.00303320,0.00327506,-0.00388110,-0.01531008,0.01892630,0.03888357,0.07665384,0.08687901,0.11708806,0.15097526,0.21401010,0.30136546,0.43421212,0.58571106,0.70137477,0.78862071,0.89141083,1.00000095,0.86230850,0.76108956,0.69939750,0.64501303,0.60061061,0.53338969,0.47241700,0.32120520
28,-0.00285401,-0.00257739,-0.00768718,-0.01836526,-0.02607934,-0.03163140,-0.02437520,-0.02948885,-0.00626331,-0.00546015,-0.02246670,-0.01392479,-0.01802468,-0.02587605,0.00506919,0.03536024,0.06236087,0.07106731,0.09798554,0.13431439,0.18601762,0.26723284,0.38877174,0.53732914,0.62464917,0.69371182,0.77534771,0.86230850,1.00000143,0.89105356,0.81622815,0.75259209,0.70133531,0.62392259,0.55428648,0.36495411
29,-0.00004570,-0.00358084,-0.00275092,-0.00340987,-0.00923859,-0.02001113,-0.01477709,-0.01164929,-0.00705389,0.00249010,-0.01765613,-0.00973578,-0.02101914,-0.02261344,0.00326517,0.03502376,0.04885143,0.06579975,0.08807951,0.10750873,0.16407590,0.24011144,0.35093221,0.48473307,0.56079704,0.61936492,0.68745136,0.76108956,0.89105356,1.00000060,0.91666436,0.84835058,0.78531170,0.69968152,0.62625408,0.40586266
30,0.00843025,0.00117028,-0.00343220,0.00029938,-0.00139588,-0.01227037,-0.00543688,0.00338577,0.00162991,0.01874934,0.00275286,0.00844848,-0.01580715,-0.02781489,-0.00466748,0.03339449,0.04339095,0.05644373,0.08286947,0.10011859,0.15402524,0.22384214,0.31509364,0.43029895,0.50377589,0.56066757,0.62888807,0.69939750,0.81622815,0.91666436,1.00000072,0.92529356,0.85604095,0.76470327,0.68679088,0.45026466
31,0.00559674,-0.00043383,-0.00486333,0.00489958,-0.00230437,-0.01781879,-0.00768137,-0.00052684,0.00099640,0.01879921,0.00432234,0.00844359,-0.00968982,-0.02451856,-0.00341829,0.02325475,0.03318508,0.04978488,0.07557859,0.08688598,0.13383597,0.19647862,0.28531361,0.39864501,0.46374163,0.51472706,0.58096462,0.64501303,0.75259209,0.84835058,0.92529356,1.00000048,0.92875695,0.82913113,0.74161029,0.48167095
32,0.01380467,0.00919516,0.00434111,0.00696727,0.00154280,-0.01393074,-0.00659740,0.00197885,0.00350020,0.01317744,0.00587724,0.00706297,-0.01377836,-0.02650100,-0.00633403,0.01993395,0.02914692,0.05162749,0.07586354,0.09020855,0.12690541,0.18402024,0.27052087,0.37632227,0.43445560,0.47987691,0.53976882,0.60061073,0.70133531,0.78531194,0.85604125,0.92875719,1.00000072,0.89512682,0.80156851,0.52473283
33,0.01016502,0.00347597,-0.00011091,0.01736420,0.02912903,-0.01421033,-0.01552346,-0.00508303,0.00672442,0.01860664,0.01738092,0.02262494,-0.01225622,-0.02762594,-0.01742454,0.00886837,0.02260727,0.04432328,0.06674552,0.07511738,0.10527004,0.15778603,0.24126761,0.33132553,0.39001176,0.42706615,0.47951344,0.53338981,0.62392253,0.69968146,0.76470315,0.82913065,0.89512682,1.00000060,0.89049423,0.58468509
34,0.01275026,0.00473715,0.00432716,0.02979683,0.04987122,-0.00643607,-0.01027020,0.00922671,0.00774763,0.01058169,0.00807049,0.01590117,-0.01997196,-0.02871776,-0.02302315,0.00519399,0.01334558,0.03001116,0.05244037,0.05451740,0.08442432,0.13119102,0.21192846,0.29642808,0.34837428,0.37979421,0.42998654,0.47241697,0.55428636,0.62625402,0.68679082,0.74161053,0.80156851,0.89049423,1.00000072,0.65385282
35,0.02085060,0.01862337,0.01581596,0.02911407,0.03023019,-0.00401326,-0.00450934,0.00585207,0.00161423,-0.00091275,-0.00409478,0.00568372,-0.01703193,-0.02848549,-0.01457282,-0.00869152,0.00681396,0.01557923,0.03065598,0.02335524,0.03117413,0.06191509,0.11350064,0.18282464,0.22914061,0.25099856,0.27930900,0.32120523,0.36495405,0.40586254,0.45026478,0.48167121,0.52473283,0.58468509,0.65385282,1.00000048
