layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
13,-0.00970876,-0.01401513,0.01078502,0.03614665,0.05541772,0.06778977,0.08301880,0.12911458,0.14099211,0.21778885,0.30758053,0.45200744,0.67433244,1.00000072,0.57349771,0.37654501,0.27233073,0.20024373,0.11597657,0.06785102,0.04817101,0.05197787,0.03958756,0.01375228,0.00713818,0.01654177,0.01946678,0.02626136,0.01767780,0.02153414,0.02404788,0.02573073,0.02892238,0.02159319,0.00950495,0.02916039
14,0.00665141,0.01477429,0.01077076,0.03116790,0.03550551,0.04185949,0.04644922,0.09324154,0.10571696,0.13159892,0.21507968,0.29788855,0.43461221,0.57349771,1.00000060,0.60550523,0.40481746,0.28255558,0.18494208,0.13088332,0.12739371,0.10677288,0.08963174,0.06106279,0.04898658,0.04600420,0.04504654,0.04624091,0.03972675,0.03932982,0.03562151,0.03221570,0.03348481,0.03013591,0.02912759,0.03537904
15,-0.01589369,-0.03136876,-0.01116729,-0.01093577,0.06061006,0.02350822,0.02060492,0.02828075,0.06179074,0.07381799,0.13679978,0.20371819,0.31201139,0.37654501,0.60550523,1.00000060,0.59669119,0.43984592,0.29380810,0.22209294,0.20227781,0.15222889,0.13131945,0.10002720,0.04427619,0.04734252,0.06210974,0.06254464,0.05532734,0.04869996,0.04429242,0.03849245,0.03638667,0.03724883,0.07611188,-0.06108510
16,0.00054561,-0.01796438,-0.01074307,-0.00694208,0.03867992,0.02044235,0.01268617,0.01986028,0.02646672,0.02350393,0.07571772,0.13636285,0.22589186,0.27233073,0.40481746,0.59669119,1.00000095,0.66959608,0.45356047,0.33158991,0.28953788,0.23914932,0.20840989,0.17318758,0.11281171,0.11619944,0.12482290,0.11032391,0.09677145,0.08513330,0.07780260,0.07052936,0.07136488,0.07350453,0.09740182,-0.03216453
17,-0.00768423,-0.03262990,-0.01603046,-0.03206561,0.03426017,-0.00028416,0.00492036,0.01119024,0.02814246,0.01029302,0.04920920,0.11033186,0.15289943,0.20024373,0.28255558,0.43984592,0.66959608,1.00000095,0.67064679,0.45302236,0.39042088,0.32941025,0.28706470,0.25634244,0.18269050,0.19031288,0.18061857,0.16980793,0.15644243,0.14036728,0.13255924,0.12690693,0.11690892,0.11667433,0.14475946,-0.03707406
18,-0.02016658,-0.04730310,-0.02089604,-0.01938718,0.07290768,0.01953178,0.01194077,-0.00430611,-0.00793480,-0.02121060,-0.00067713,0.05330713,0.06719969,0.11597657,0.18494208,0.29380810,0.45356047,0.67064679,1.00000072,0.62644231,0.51829767,0.41760176,0.36527053,0.34459513,0.25777635,0.25665936,0.24881066,0.22976936,0.21209712,0.18982233,0.18546925,0.18020871,0.17438081,0.16317485,0.18310620,-0.03191666
19,-0.01989429,-0.04382744,-0.01547598,-0.01568994,0.05174961,0.01423200,-0.00179862,-0.01368253,0.01075380,-0.02266070,-0.01138613,0.02268351,0.06037169,0.06785102,0.13088332,0.22209294,0.33158991,0.45302236,0.62644231,1.00000083,0.78172863,0.63501865,0.52921605,0.47535431,0.36938646,0.35543346,0.33553848,0.30929169,0.28991038,0.26695704,0.25348103,0.24129325,0.22646268,0.21003994,0.21911906,0.00093457
20,-0.02803204,-0.04707934,-0.01715081,-0.01952213,0.05278480,0.02000807,0.00850774,-0.00676723,0.00924256,-0.04137130,-0.02309451,0.02141831,0.04845624,0.04817101,0.12739371,0.20227781,0.28953788,0.39042088,0.51829767,0.78172863,1.00000107,0.78494865,0.63441443,0.56219172,0.43597272,0.42345071,0.40010157,0.36028582,0.33491266,0.30159289,0.28731987,0.27280316,0.25857103,0.24250442,0.25478467,0.00819843
21,-0.04391254,-0.05970308,-0.03933860,-0.02743225,0.04209150,0.01369740,0.01017865,-0.00106256,-0.00751133,-0.04451825,-0.01689542,0.02591011,0.05787253,0.05197787,0.10677288,0.15222889,0.23914932,0.32941025,0.41760176,0.63501865,0.78494865,1.00000107,0.78788900,0.65047091,0.50150973,0.48657107,0.44891226,0.40867537,0.37805307,0.34494093,0.32774553,0.30357739,0.27765387,0.25851732,0.25779331,0.02746417
22,-0.03666681,-0.04933277,-0.02579187,-0.02019190,0.04450896,0.00347832,-0.00508629,-0.01114867,-0.01018879,-0.04756198,-0.01174641,0.03549794,0.04589866,0.03958756,0.08963174,0.13131945,0.20840989,0.28706470,0.36527053,0.52921605,0.63441443,0.78788900,1.00000048,0.82295173,0.64860928,0.61722589,0.57374722,0.52680469,0.48513988,0.45138845,0.42354599,0.39152047,0.35162252,0.32327646,0.29730040,0.07061368
23,-0.04244705,-0.05937979,-0.03995703,-0.03254642,0.02661971,-0.02217894,-0.02894886,-0.02861936,-0.01284641,-0.04634356,-0.01329292,0.02404090,0.03723236,0.01375228,0.06106279,0.10002720,0.17318758,0.25634244,0.34459513,0.47535431,0.56219172,0.65047091,0.82295173,1.00000083,0.80312288,0.74694693,0.69975704,0.64154053,0.59006286,0.54593188,0.50848442,0.47586891,0.42893702,0.40294206,0.36579204,0.10652130
