layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
13,-0.00852150,-0.00045365,0.00604113,0.00697250,0.00293407,0.00574155,-0.02069274,0.00635100,-0.04688770,-0.03156059,-0.03752645,-0.05025173,-0.10232046,1.00000083,-0.15934253,-0.00749101,0.01105272,-0.00045822,0.00140792,-0.03031577,-0.03138041,-0.00885253,-0.01713676,-0.04042022,-0.02170587,0.02048793,0.02278681,0.01326588,-0.04539657,-0.01394659,0.00158539,-0.00403684,0.01937575,0.00492595,0.02430935,-0.00331844
14,-0.00104791,0.00509374,-0.03296964,-0.01426625,0.02579680,-0.02289033,0.00035658,0.01986753,-0.01844073,0.01007671,-0.00037685,0.01878519,-0.04597760,-0.15934253,1.00000095,-0.12005955,-0.01121253,0.00481843,0.01052538,0.01601597,0.04979140,0.00717964,-0.00641075,0.01431265,-0.00019470,0.00503924,0.00178332,0.02391870,0.01851553,0.01715491,-0.03290594,-0.00951126,-0.02556125,-0.00436232,0.00600976,-0.03595055
15,0.00776708,-0.01864556,0.00508258,-0.01285593,0.06458553,-0.02354796,0.00357358,-0.02077868,0.00005411,0.00691766,0.00068078,0.02294892,0.02876975,-0.00749101,-0.12005955,1.00000083,-0.12290514,-0.00538652,-0.03559487,0.01260630,-0.03633961,-0.02293243,0.02884438,0.00897144,-0.05379862,0.01281915,0.04421158,0.01962932,0.01473032,-0.00140854,-0.01641904,-0.00564515,-0.01682295,-0.03196041,0.06373794,-0.10773966
16,0.00944762,0.01057855,-0.00940338,0.01232014,-0.02092705,0.00067242,-0.03418628,0.00607138,-0.01712747,-0.00384861,0.01344513,0.02967062,0.05233701,0.01105272,-0.01121253,-0.12290514,1.00000060,-0.11677123,0.00351100,0.01429583,-0.01404858,0.04209804,0.01952157,0.03985503,0.02573435,0.02527143,0.01879175,0.00690358,0.01271901,-0.00748010,-0.00116600,0.01215738,0.01213469,-0.02945143,0.00152129,-0.01367879
17,0.00363824,-0.04533811,-0.01810888,0.00176129,0.02366222,-0.00664185,0.03504614,-0.00967639,0.02053643,-0.01494910,-0.00386888,0.02554157,-0.02780667,-0.00045822,0.00481843,-0.00538652,-0.11677123,1.00000083,-0.03420894,0.02021729,0.01049404,-0.00521628,0.03069427,0.06005054,0.01573352,0.06250083,0.01853769,0.01432728,0.01006582,-0.00161413,0.00430451,0.01637327,-0.01888373,-0.00045943,0.02090899,-0.04403454
18,0.01730203,-0.01655520,0.01922831,0.02017411,0.05926983,0.00693733,-0.00094468,-0.03070895,-0.03272575,-0.00631689,-0.00709387,0.01664335,-0.01097624,0.00140792,0.01052538,-0.03559487,0.00351100,-0.03420894,1.00000095,-0.05037210,0.05049548,0.01051890,0.09192707,0.08184566,0.03268818,0.01804438,0.04259239,0.02116079,0.02344665,0.01052712,0.03581686,0.01733556,0.01370904,-0.02585188,-0.00149677,-0.05220982
19,-0.02425058,-0.00904733,-0.00245826,-0.00301266,0.00191078,-0.00130959,-0.02161705,0.00234578,0.00580438,-0.00306979,0.01217029,0.00406476,0.05086037,-0.03031577,0.01601597,0.01260630,0.01429583,0.02021729,-0.05037210,1.00000107,-0.04811513,0.04852958,0.03626275,0.06118902,0.04111492,0.01496895,0.02867754,0.00209542,0.05253986,0.03894141,0.01003205,0.02993667,-0.00311330,-0.00795533,0.01248227,-0.01085549
20,-0.01300361,-0.00856800,0.03033593,0.01856537,-0.00807314,-0.01819099,0.03340090,-0.00810272,0.00164398,-0.02622996,-0.00465787,0.01122854,-0.01545415,-0.03138041,0.04979140,-0.03633961,-0.01404858,0.01049404,0.05049548,-0.04811513,1.00000095,-0.05964609,0.05039142,0.10397775,0.05130341,0.02797860,0.03308989,-0.01087106,0.02952168,-0.01198118,0.01319337,0.00866260,0.02638496,-0.01390773,0.01665258,-0.04731135
21,-0.01450502,0.01812570,-0.01833223,0.00815034,-0.01968857,0.00450325,-0.00034461,0.02548256,-0.01089096,-0.00160080,0.00512318,0.00096300,0.03491156,-0.00885253,0.00717964,-0.02293243,0.04209804,-0.00521628,0.01051890,0.04852958,-0.05964609,1.00000095,-0.03611989,0.02252063,0.01614090,0.03927648,0.02799518,0.00817205,0.04095005,0.02409362,0.01036060,0.01535910,-0.00197585,0.00510215,0.00680669,-0.03558808
22,-0.01596099,-0.00631956,0.02376723,-0.01308056,0.02961693,-0.02772986,-0.01631796,0.01503171,0.00454942,0.00184863,0.00973518,0.02679239,-0.00880566,-0.01713676,-0.00641075,0.02884438,0.01952157,0.03069427,0.09192707,0.03626275,0.05039142,-0.03611989,1.00000083,0.09699777,0.09622309,-0.00068013,0.06920134,0.06610548,0.05429467,0.05599172,0.02503430,-0.00603094,-0.01093094,0.00092318,-0.02429861,-0.01284180
23,0.00659167,-0.03429197,-0.02139547,0.00525253,0.01089033,-0.02730370,-0.01730837,0.00619700,0.00384541,0.00409800,0.00281265,0.00174862,-0.00729720,-0.04042022,0.01431265,0.00897144,0.03985503,0.06005054,0.08184566,0.06118902,0.10397775,0.02252063,0.09699777,1.00000083,0.13439897,0.05749903,0.11489859,0.05671741,0.12821759,0.06505560,0.02831125,0.02729281,0.03071654,0.01768596,-0.00136798,-0.10227398
24,0.00275839,-0.00318800,0.03427569,-0.01116822,-0.03626881,-0.00408547,0.00863769,0.00840015,0.03108877,-0.00736232,-0.01888339,-0.02076128,0.02237744,-0.02170587,-0.00019470,-0.05379862,0.02573435,0.01573352,0.03268818,0.04111492,0.05130341,0.01614090,0.09622309,0.13439897,1.00000060,-0.12704416,0.02929720,0.05042062,0.06400452,0.03976633,0.03599648,0.01503420,0.01166122,-0.00590251,-0.04888113,0.09696871
25,0.00959897,-0.02106964,-0.03575280,0.02861131,0.01004771,-0.00820457,-0.00895919,-0.00632442,-0.02663247,0.00788003,-0.00737209,0.01879609,-0.01185329,0.02048793,0.00503924,0.01281915,0.02527143,0.06250083,0.01804438,0.01496895,0.02797860,0.03927648,-0.00068013,0.05749903,-0.12704416,1.00000083,0.02269333,0.03634589,0.03936473,0.00030300,0.01028483,0.01907174,0.03805561,-0.00814243,0.01963105,-0.12176648
26,0.00847453,0.01023801,-0.00336934,0.00803098,0.00641843,0.00472679,-0.00539590,-0.00556833,0.00714930,-0.00416315,0.00398297,-0.00542473,0.00163071,0.02278681,0.00178332,0.04421158,0.01879175,0.01853769,0.04259239,0.02867754,0.03308989,0.02799518,0.06920134,0.11489859,0.02929720,0.02269333,1.00000072,0.01234110,0.06961609,0.04973450,0.06126872,0.00270027,0.01193562,0.02326930,0.02683752,-0.10394417
27,-0.01572971,0.00797690,-0.01844313,0.05117811,0.00889606,0.00252488,0.00998450,0.00530765,0.01127351,-0.01927303,0.02970961,-0.00788519,-0.01319389,0.01326588,0.02391870,0.01962932,0.00690358,0.01432728,0.02116079,0.00209542,-0.01087106,0.00817205,0.06610548,0.05671741,0.05042062,0.03634589,0.01234110,1.00000072,0.01765629,0.00621671,0.01040341,0.02329168,0.04986381,-0.00013576,0.00562445,-0.02416270
28,-0.01541294,-0.03840910,-0.00766327,-0.01426723,0.02505909,0.03663175,-0.02083487,0.02356815,0.01218951,0.00690668,-0.00601536,0.00379657,0.02439786,-0.04539657,0.01851553,0.01473032,0.01271901,0.01006582,0.02344665,0.05253986,0.02952168,0.04095005,0.05429467,0.12821759,0.06400452,0.03936473,0.06961609,0.01765629,1.00000083,0.04654897,0.05778104,-0.02112719,0.03182500,0.02093994,-0.00636811,-0.06828844
29,-0.02909792,0.01528387,-0.01290957,0.00611685,-0.02577251,0.04746198,0.00096791,-0.02991216,-0.00396971,0.00482110,0.00597248,-0.00478873,-0.01437296,-0.01394659,0.01715491,-0.00140854,-0.00748010,-0.00161413,0.01052712,0.03894141,-0.01198118,0.02409362,0.05599172,0.06505560,0.03976633,0.00030300,0.04973450,0.00621671,0.04654897,1.00000060,0.03047875,0.00123592,0.03343806,0.01173552,-0.05214635,0.02519669
30,-0.01607919,0.01872617,-0.00736878,-0.00065461,-0.00311659,-0.01688178,0.00449130,0.00345155,0.00206876,0.00649050,0.01059130,-0.02686542,0.00743314,0.00158539,-0.03290594,-0.01641904,-0.00116600,0.00430451,0.03581686,0.01003205,0.01319337,0.01036060,0.02503430,0.02831125,0.03599648,0.01028483,0.06126872,0.01040341,0.05778104,0.03047875,1.00000095,-0.04903008,0.04402827,0.00160705,-0.04478942,0.01170836
31,0.02896185,-0.00871514,0.00576269,0.00217514,0.00449762,-0.00144969,-0.01387660,0.00042546,0.02081802,0.00969458,-0.01555476,-0.00594853,0.01279525,-0.00403684,-0.00951126,-0.00564515,0.01215738,0.01637327,0.01733556,0.02993667,0.00866260,0.01535910,-0.00603094,0.02729281,0.01503420,0.01907174,0.00270027,0.02329168,-0.02112719,0.00123592,-0.04903008,1.00000143,0.01154096,0.01939480,-0.04718522,0.03619925
32,-0.02723652,0.03055733,0.00803113,-0.03540645,-0.01303582,0.00157790,0.00861162,-0.00443063,-0.00616518,0.00263028,-0.02714847,0.00826364,0.00712018,0.01937575,-0.02556126,-0.01682292,0.01213469,-0.01888373,0.01370903,-0.00311331,0.02638496,-0.00197585,-0.01093095,0.03071653,0.01166122,0.03805559,0.01193563,0.04986383,0.03182500,0.03343806,0.04402827,0.01154095,1.00000107,-0.01694877,-0.02143566,0.02713465
33,-0.01063829,-0.02011610,-0.00115062,0.00180027,0.02692167,-0.00499913,-0.02872221,0.00901562,0.02152516,-0.00135566,-0.00070527,-0.03609760,-0.01735343,0.00492593,-0.00436231,-0.03196042,-0.02945142,-0.00045943,-0.02585188,-0.00795531,-0.01390773,0.00510215,0.00092318,0.01768598,-0.00590253,-0.00814243,0.02326928,-0.00013576,0.02093994,0.01173554,0.00160703,0.01939479,-0.01694877,1.00000131,0.00473049,-0.02498527
34,0.00323104,0.01329111,-0.02901561,0.03423727,0.01453179,-0.01767682,0.00942124,-0.03138426,-0.01054590,-0.01990523,0.00419254,-0.01988239,0.00934495,0.02430934,0.00600974,0.06373796,0.00152130,0.02090897,-0.00149678,0.01248225,0.01665259,0.00680670,-0.02429862,-0.00136799,-0.04888110,0.01963105,0.02683752,0.00562445,-0.00636811,-0.05214633,-0.04478943,-0.04718520,-0.02143566,0.00473049,1.00000024,-0.26574704
35,-0.02271342,0.05532161,0.03198677,-0.00344707,-0.06928792,0.01358708,0.01754295,0.02825798,0.05251673,-0.02366993,0.01159373,-0.02877008,0.03675199,-0.00331842,-0.03595056,-0.10773972,-0.01367881,-0.04403456,-0.05220982,-0.01085548,-0.04731134,-0.03558808,-0.01284182,-0.10227393,0.09696864,-0.12176657,-0.10394416,-0.02416269,-0.06828841,0.02519669,0.01170836,0.03619923,0.02713465,-0.02498527,-0.26574704,1.00000095
