reference,dataset,prompt_style,n_count,r_n_projection,r_n_cosine,mean_projection,mean_cosine
mmlu n=8,mmlu,base,10,0.7446074065431288,0.7448014764264118,-3.024021339416504,-0.019806107311568236
mmlu n=8,mmlu,explain,10,0.730749788222719,0.7217026430716565,-13.731722354888916,-0.09347124389841595
mmlu n=8,bbh,base,10,0.022144194810284734,-0.04654221758922774,-12.158770275115966,-0.08419547112695015
mmlu n=8,bbh,explain,10,0.14995691344737366,0.08343897902666601,-14.361876010894775,-0.09920468653862784
mmlu n=10,mmlu,base,10,0.7916690128565941,0.7932188256670824,-3.0532904148101805,-0.020124040633246316
mmlu n=10,mmlu,explain,10,0.7918331799655289,0.7850275107184549,-12.234693670272828,-0.0832740481961769
mmlu n=10,bbh,base,10,0.10989503243271458,0.03443864616621817,-12.479861640930176,-0.0864174053350857
mmlu n=10,bbh,explain,10,0.22988292416161885,0.1588997046783239,-14.70696039199829,-0.10158154888051137
