reference,dataset,n_count,mean_delta_projection_base_minus_explain,min_delta_projection_base_minus_explain,max_delta_projection_base_minus_explain,r_n_delta_projection,mean_delta_cosine_base_minus_explain,r_n_delta_cosine
mmlu n=8,mmlu,10,10.707701015472413,-0.5131301879882812,19.74619483947754,0.5144961764404137,0.0736651365868477,0.5232923311730291
mmlu n=8,bbh,10,2.2031057357788084,-0.9417238235473633,4.741621017456055,-0.1608561272790109,0.015009215411677702,-0.15286044253847306
mmlu n=10,mmlu,10,9.181403255462646,-0.24420738220214844,16.39200472831726,0.532800380926688,0.06315000756293057,0.5429344077441486
mmlu n=10,bbh,10,2.227098751068115,-0.6221961975097656,4.425222396850586,-0.1691163058368791,0.015164143545425668,-0.1587339271177014
